а	而
август	八月
автобус	公共汽车
автор	作者;发明人
адрес	地址
активный	主动的;积极
английский	英国的
англичанин	英国人
англо-русский (словарь)	英-俄的
апрель	四月
аптека	诊所;药店
артист	演员
артистка	女演员
аудитория	教室
аэропорт	机场
бабушка	奶
балет	芭蕾
банк	银行
баскетбол	篮球
бассейн	泳池
бедный	贫穷的;乏
белый	白色的
библиотека	图书馆
бизнес	生意
бизнесмен	商人
билет	票
близко	靠近地
богатый	富裕的
болен	痛
большой	大的
брат	兄弟
брать	拿;取
будущий	未来的
буква	字母
быстро	快地
быть	是;在
в (во)	在
вагон	车厢
важно	重要地
ваш	您的
вдруг	周围
век	世纪
великий	伟大的
весело	高兴地
весёлый	高兴的
весна	春;春天
весь (вся/всё/все)	全部
вечер	夜晚
взять	拿; 取
видеть	看到; 见
виза	签证
вино	啤酒;酒
вкусно	美味的;美味地
вместе	一起
внимательно	专心的
внук	孙子
внучка	孙女
вода	水
вокзал	车站
волейбол	排球
вопрос	问题
восемнадцать	十八
восемь	八
восемьдесят	八十
восемьсот	八百
воскресенье	周日
вот	这里
врач	医生
время	时间
всегда	总是
вспоминать	想起
встречать	遇到
вторник	周二
вход	入口
вчера	昨天
вы	您
высокий	高的
выставка	展览;会
выучить	学会
выход	出口
газета	报纸
где	哪里
география	地理
гитара	吉他
глаз	眼睛
говорить	说
год	年
голова	头
голубой	蓝色的
гора	山
город	城市
городской	城市的
горячий	热的
господин	先生
госпожа	女生;女士
гостиница	旅馆;酒店
гость	客厅
государство	国家
готов	准备
готовить	准备
грамматика	语法
громко	大声地;显著
группа	小组;班
гулять	散步
да	是
давайте	开始
давать	开始
давно	很久;早已
даже	甚至
далеко	远地
дарить	送
дать	给
дата	日期
два	二
двадцать	二十
двенадцать	十二
дверь	门
двести	二百
дворец	宫殿
девочка	小姑娘;小女孩
девушка	姑娘;女生
девяносто	九十
девятнадцать	十九
девять	九
девятьсот	九百
дедушка	爷
декабрь	十二月
делать	做
день	日;白天
деньги	钱
дерево	树
десять	十
дети	儿童们
детский	儿童的
дешёвый	便宜的
дёшево	便宜地
до	直到;至
добрый	善良的
дождь	雨
документ	文件
долго	久
должен	应该
дом	家;房子
домохозяйка	家庭主妇
дорога	路
дОрого	贵地
дорогой	贵的
До свидания!	再见
дочь	女儿
друг	朋友
другой	另外的
думать	想;认为
дядя	舅;叔叔;伯伯
его	他的
её	她的
ездить	乘车
есть	吃;有
есть (кушать)	吃
ехать	乘车
ещё	还;再
жаль	遗憾;可惜
жарко	热地
ждать	等
желать	祝愿;希望
жена	妻子
женский	女性的
женщина	女性
жёлтый	黄色的
жизнь	生活
житель	居民
жить	生活;居住
журнал	期刊
журналист	记者
забывать	忘记
завод	工厂
завтра	明天
завтрак	早餐
завтракать	吃早餐
задать	指定;安排
задача	任务
закрывать	关
закрыт	关上
заниматься	学习;从事
занят	忙
запоминать	记住
зачем	为什么
звать	叫
звонить	打电话
здание	建筑
здесь	这里
здоров	健康地
здравствуйте	您好
зелёный	绿色的
земля	地球;地面
зима	冬天
знать	知道
зонт (зонтик)	伞
зоопарк	动物园
и	和
игра	游戏
играть	玩
идти	走
из	从
известный	著名的
извините	对不起
изучать	学习
или	或者
имя	名字
инженер	工程师
иногда	偶尔
иностранец	外国人
иностранный	外国的;外国人的
институт	学院
